Survey_ID,Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
0,7/7/15,3,2,2,5,0,5,2,0,1,6,4,5,0,7,5,5,1,4,0,5,36 to 50,Female,609.5
1,7/7/15,2,3,4,3,8,10,5,2,2,5,2,5,5,8,2,2,2,3,2,6,36 to 50,Female,655.6
2,7/7/15,2,3,3,4,4,10,3,2,2,2,2,4,5,8,10,2,2,4,8,3,36 to 50,Female,631.6
3,7/7/15,3,3,10,3,10,7,2,5,2,3,5,5,0,5,7,5,1,5,2,0,51 or more,Female,622.7
4,7/7/15,5,1,3,3,10,4,2,4,2,5,0,5,0,7,0,0,2,8,1,5,51 or more,Female,663.9
5,7/8/15,3,2,3,9,10,10,2,3,1,6,1,7,10,8,0,2,2,10,8,3,51 or more,Female,722.3
6,7/8/15,4,2,10,6,10,10,3,5,2,8,8,7,5,7,10,0,2,10,8,10,51 or more,Male,727.2
7,7/9/15,3,4,5,3,5,7,4,0,1,8,2,8,10,6,0,2,2,8,2,2,21 to 35,Female,676.2
8,7/9/15,5,3,6,4,3,3,5,4,1,10,2,1,5,10,0,2,2,10,3,10,21 to 35,Female,702.8
9,7/10/15,4,4,2,6,10,10,0,4,2,3,2,3,0,6,0,0,1,3,8,1,51 or more,Female,634.4
10,7/10/15,2,4,7,7,1,1,3,0,2,2,2,7,4,8,7,3,2,3,0,6,36 to 50,Female,610.1
11,7/12/15,1,4,3,8,0,2,1,0,1,2,1,8,2,7,7,1,2,4,1,7,21 to 35,Male,618.6
12,7/12/15,2,2,10,5,2,8,3,4,2,7,1,6,10,8,0,0,2,5,2,7,21 to 35,Male,686.4
13,7/12/15,5,3,0,3,6,6,6,3,1,8,7,7,2,6,0,3,2,5,6,5,36 to 50,Female,689.6
14,7/12/15,3,3,2,3,7,5,3,2,1,8,0,2,5,8,3,2,1,4,5,4,21 to 35,Female,639.7
15,7/12/15,3,3,5,4,10,10,2,5,1,7,2,8,10,6,1,2,2,8,3,10,51 or more,Female,720.4
16,7/12/15,4,2,10,4,6,10,4,0,1,8,2,1,1,8,1,1,2,3,3,3,21 to 35,Male,673.5
17,7/12/15,4,2,10,10,5,10,0,1,1,7,1,10,2,8,0,3,2,4,8,6,21 to 35,Male,707.6
18,7/12/15,5,3,10,7,10,5,6,5,1,6,2,8,10,9,0,7,2,5,4,7,36 to 50,Female,727.8
19,7/13/15,3,1,6,10,10,6,3,5,2,8,4,1,5,8,0,0,2,5,1,2,36 to 50,Male,687.1
20,7/13/15,2,4,3,8,6,5,1,2,1,8,1,4,6,4,0,3,2,3,2,5,21 to 35,Male,652.9
21,7/13/15,3,5,5,4,5,3,2,5,2,10,6,3,3,7,5,7,2,10,10,10,21 to 35,Female,668.6
22,7/13/15,5,2,8,6,10,10,6,4,2,4,4,3,3,7,1,2,2,10,6,8,36 to 50,Male,709.4
23,7/13/15,2,2,6,10,10,10,10,5,1,10,6,7,4,7,0,1,2,10,5,7,36 to 50,Male,752.7
24,7/13/15,2,4,6,10,5,5,6,4,2,6,1,7,10,6,0,3,2,1,3,10,36 to 50,Female,677.7
25,7/13/15,1,5,1,3,6,5,3,5,1,2,2,8,1,7,0,6,2,5,1,1,21 to 35,Male,633.9
26,7/13/15,1,4,1,2,5,3,1,5,1,1,5,8,1,7,0,4,2,2,1,1,21 to 35,Male,628.8
27,7/13/15,2,4,10,3,10,7,8,3,1,6,0,5,5,7,0,1,2,10,2,2,21 to 35,Female,692.8
28,7/13/15,3,4,6,4,7,10,3,3,1,4,1,10,5,6,0,3,1,7,2,8,36 to 50,Female,673.2
29,7/13/15,4,2,10,3,1,2,3,3,1,7,2,4,1,7,0,3,2,10,1,7,Less than 20,Female,673.9
30,7/13/15,5,3,10,3,7,5,3,2,1,7,2,10,10,7,0,0,1,10,5,10,21 to 35,Male,712.5
31,7/14/15,3,1,3,5,2,10,4,2,1,5,4,3,10,8,0,1,2,10,4,1,36 to 50,Female,692.6
32,7/14/15,0,5,0,3,3,8,1,5,2,4,4,1,1,6,10,10,2,3,2,1,36 to 50,Female,574.5
33,7/14/15,1,3,10,3,2,3,2,0,1,2,2,5,2,8,0,0,1,4,3,7,51 or more,Female,630.1
34,7/14/15,4,2,10,6,10,8,10,2,1,10,2,10,5,7,0,3,2,10,4,10,21 to 35,Male,746.5
35,7/14/15,3,3,0,2,0,5,0,5,2,3,1,2,0,6,0,6,1,2,2,10,21 to 35,Male,591.7
36,7/14/15,2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,51 or more,Female,729.4
37,7/15/15,2,5,1,8,5,2,2,5,2,2,0,10,0,8,7,10,1,2,0,10,36 to 50,Female,593.7
38,7/15/15,4,1,1,10,10,10,5,5,2,8,3,7,3,6,7,2,1,6,4,10,51 or more,Male,682.8
39,7/15/15,5,3,6,6,10,7,3,5,1,8,5,3,4,9,0,3,2,6,6,10,51 or more,Female,723.4
